inputName,size
11,6
19,22
12,3
38,20
81,29
5,30
40,14
70,4
23,2
72,9
79,7
78,2
87,10
6,27
68,12
69,9
1,7
45,9
33,13
15,2
93,8
24,6
25,8
26,9
48,19
71,12
76,23
7,3
50,11
22,9
4,31
32,31
77,13
91,31
42,30
13,22
41,29
55,23
31,22
66,24
65,26
62,32
21,2
95,23
84,20
58,25
64,5
83,7
94,11
0,14
99,25
96,22
67,13
61,6
43,4
2,30
54,8
30,7
59,28
85,22
74,27
90,25
18,26
52,23
44,9
17,17
36,11
49,4
86,5
37,4
56,32
63,32
35,13
97,29
75,32
57,4
88,30
10,3
53,21
8,17
39,31
47,23
60,29
89,21
51,27
14,9
28,5
16,3
34,30
82,21
46,32
27,9
20,7
9,12
92,2
3,4
98,8
29,16
80,29
73,9
