inputName,size
11,9
19,9
12,9
38,11
81,9
5,6
40,11
70,11
23,6
72,11
79,11
78,11
87,9
6,6
68,8
69,8
1,6
45,11
33,11
15,9
93,4
24,6
25,6
26,6
48,11
71,11
76,11
7,6
50,10
22,6
4,6
32,11
77,11
91,4
42,11
13,9
41,11
55,10
31,11
66,8
65,8
62,8
21,6
95,4
84,9
58,10
64,8
83,9
94,4
0,6
99,4
96,4
67,8
61,8
43,11
2,6
54,10
30,11
59,10
85,9
74,11
90,4
18,9
52,10
44,11
17,9
36,11
49,11
86,9
37,11
56,10
63,8
35,11
97,4
75,11
57,10
88,9
10,9
53,10
8,6
39,11
47,11
60,8
89,9
51,10
14,9
28,6
16,9
34,11
82,9
46,11
27,6
20,6
9,6
92,4
3,6
98,4
29,6
80,9
73,11
