id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,7750,7750,"['969361', '8854229', '128416', '1109565', '65202', '553177', '569350', '49.951', '12609698', '0', '3887939', '0', '161419', '0', '0', '4.152']",3206,18921,11258,9057,100.00,69.57,58.70,60.00,2.417,0.410,0.688,0.856
values_19,15488,15488,"['974091', '8855431', '129891', '1112607', '65452', '553815', '570074', '49.840', '12652738', '0', '3900678', '0', '161690', '0', '0', '4.145']",6710,40931,24203,19402,100.00,69.57,58.70,60.00,2.308,0.378,0.640,0.798
values_12,78403,78403,"['984094', '8864828', '142932', '1119408', '66444', '553220', '569733', '49.089', '12867658', '0', '3958593', '0', '166940', '0', '0', '4.217']",33384,171766,108091,92603,100.00,100.00,91.30,100.00,2.349,0.456,0.725,0.847
values_38,5947,5947,"['971912', '8853948', '128538', '1110603', '65232', '553162', '569403', '49.905', '12619014', '0', '3891137', '0', '161313', '0', '0', '4.146']",2398,13908,8314,6698,100.00,69.57,58.70,60.00,2.480,0.428,0.715,0.888
values_81,131732,131732,"['995598', '8872093', '154303', '1126525', '67483', '553390', '570126', '48.474', '13064982', '0', '4011922', '0', '170070', '0', '0', '4.239']",56132,291791,184719,157387,100.00,100.00,91.30,100.00,2.347,0.451,0.713,0.837
values_5,42867,42867,"['979634', '8859713', '136001', '1115828', '65866', '553026', '569443', '49.439', '12752956', '0', '3928056', '0', '164762', '0', '0', '4.194']",18184,92250,58054,49866,100.00,100.00,91.30,100.00,2.357,0.465,0.738,0.860
values_40,8298,8298,"['972612', '8854293', '128895', '1111092', '65228', '553248', '569429', '49.878', '12627220', '0', '3893487', '0', '161419', '0', '0', '4.146']",3460,20453,12235,9796,100.00,69.57,58.70,60.00,2.398,0.406,0.678,0.847
values_70,143544,143544,"['1003166', '8873341', '159064', '1129947', '67630', '553597', '570296', '48.194', '13125896', '0', '4028734', '0', '167447', '0', '0', '4.156']",57632,299588,208899,175089,100.00,100.00,91.30,100.00,2.491,0.479,0.687,0.820
values_23,30458,30458,"['976895', '8857876', '133528', '1114040', '65657', '552995', '569331', '49.589', '12707900', '0', '3915648', '0', '163212', '0', '0', '4.168']",12865,64727,40923,35204,100.00,100.00,91.30,100.00,2.368,0.471,0.744,0.865
values_72,30642,30642,"['976895', '8858003', '133528', '1114167', '65643', '552996', '569339', '49.583', '12708636', '0', '3915832', '0', '163264', '0', '0', '4.169']",13037,65566,41107,35388,100.00,100.00,91.30,100.00,2.350,0.467,0.745,0.866
values_79,102577,102577,"['992141', '8868310', '148361', '1124233', '66831', '553262', '569873', '48.727', '12972766', '0', '3987767', '0', '168195', '0', '0', '4.218']",43871,226756,142652,122090,100.00,100.00,91.30,100.00,2.338,0.452,0.719,0.840
values_78,15513,15513,"['974091', '8855436', '129891', '1112612', '65452', '553815', '570064', '49.840', '12652838', '0', '3900703', '0', '161644', '0', '0', '4.144']",6720,41006,24228,19427,100.00,69.57,58.70,60.00,2.308,0.378,0.640,0.799
values_87,9410,9410,"['965740', '8846153', '128547', '1109882', '65177', '552289', '568470', '49.859', '12617108', '0', '3889599', '0', '161775', '0', '0', '4.159']",3768,18228,11669,10077,100.00,100.00,91.30,100.00,2.497,0.516,0.806,0.934
values_6,16394,16394,"['974382', '8855562', '130035', '1112794', '65454', '553882', '570171', '49.833', '12655984', '0', '3901584', '0', '161743', '0', '0', '4.146']",7122,43528,25745,20629,100.00,69.57,58.70,60.00,2.302,0.377,0.637,0.795
values_68,17416,17416,"['974685', '8855722', '130184', '1113000', '65462', '553982', '570261', '49.827', '12661848', '0', '3902605', '0', '162062', '0', '0', '4.153']",7580,46458,27419,21978,100.00,69.57,58.70,60.00,2.298,0.375,0.635,0.792
values_69,15463,15463,"['974091', '8855426', '129891', '1112602', '65452', '553815', '570069', '49.841', '12652638', '0', '3900653', '0', '161652', '0', '0', '4.144']",6700,40856,24178,19377,100.00,69.57,58.70,60.00,2.308,0.378,0.640,0.798
values_1,21184,21184,"['968162', '8848039', '130836', '1111674', '65400', '552369', '568633', '49.719', '12659900', '0', '3901373', '0', '162515', '0', '0', '4.166']",8920,44431,28076,24201,100.00,100.00,91.30,100.00,2.375,0.477,0.755,0.875
values_45,7640,7640,"['969361', '8854207', '128416', '1109543', '65202', '553177', '569345', '49.951', '12609258', '0', '3887829', '0', '161395', '0', '0', '4.151']",3162,18591,11148,8947,100.00,69.57,58.70,60.00,2.416,0.411,0.685,0.854
values_33,1031,1031,"['962875', '8844813', '126907', '1108649', '65050', '552252', '568383', '49.961', '12587790', '0', '3881220', '0', '160988', '0', '0', '4.148']",154,537,393,425,100.00,100.00,84.78,100.00,6.695,1.920,2.623,2.426
values_15,8328,8328,"['972612', '8854299', '128895', '1111098', '65228', '553248', '569427', '49.877', '12627340', '0', '3893517', '0', '161459', '0', '0', '4.147']",3472,20543,12265,9826,100.00,69.57,58.70,60.00,2.399,0.405,0.679,0.848
values_93,14173,14173,"['966415', '8846943', '129446', '1110613', '65178', '552301', '568488', '49.794', '12634524', '0', '3894363', '0', '162152', '0', '0', '4.164']",5882,28930,18448,15724,100.00,100.00,91.30,100.00,2.410,0.490,0.768,0.901
values_24,6119,6119,"['962255', '8845625', '127561', '1107947', '65103', '552261', '568430', '49.968', '12589494', '0', '3881308', '0', '161539', '0', '0', '4.162']",2326,11032,7045,6105,100.00,100.00,91.30,100.00,2.631,0.555,0.869,1.002
values_25,185687,185687,"['1006179', '8877383', '162273', '1133149', '67915', '553361', '570145', '47.959', '13282660', '0', '4070876', '0', '175187', '0', '0', '4.303']",71930,375114,236455,201951,100.00,100.00,91.30,100.00,2.581,0.495,0.785,0.919
values_26,5937,5937,"['971912', '8853946', '128538', '1110601', '65232', '553162', '569397', '49.905', '12618974', '0', '3891127', '0', '161313', '0', '0', '4.146']",2394,13878,8304,6688,100.00,69.57,58.70,60.00,2.480,0.428,0.715,0.888
values_48,1034,1034,"['962874', '8844813', '126906', '1108649', '65050', '552252', '568383', '49.962', '12587802', '0', '3881223', '0', '160988', '0', '0', '4.148']",156,552,398,434,100.00,100.00,86.96,100.00,6.628,1.873,2.598,2.382
values_71,21230,21230,"['968154', '8848064', '130828', '1111699', '65389', '552380', '568632', '49.719', '12660092', '0', '3901419', '0', '162515', '0', '0', '4.166']",8963,44661,28114,24243,100.00,100.00,91.30,100.00,2.369,0.475,0.755,0.876
values_76,16434,16434,"['974382', '8855570', '130035', '1112802', '65454', '553882', '570160', '49.832', '12656144', '0', '3901624', '0', '161752', '0', '0', '4.146']",7138,43648,25785,20669,100.00,69.57,58.70,60.00,2.302,0.377,0.637,0.795
values_7,9655,9655,"['972974', '8854505', '129096', '1111366', '65260', '553361', '569544', '49.870', '12632008', '0', '3894845', '0', '161482', '0', '0', '4.146']",4088,24381,14540,11664,100.00,69.57,58.70,60.00,2.362,0.396,0.664,0.828
values_50,7101,7101,"['972354', '8854107', '128721', '1110838', '65181', '553133', '569301', '49.882', '12623014', '0', '3892290', '0', '161395', '0', '0', '4.147']",2912,17077,10198,8181,100.00,69.57,58.70,60.00,2.439,0.416,0.696,0.868
values_22,6527,6527,"['972103', '8854031', '128624', '1110727', '65148', '553077', '569238', '49.883', '12621036', '0', '3891717', '0', '161313', '0', '0', '4.145']",2650,15461,9235,7434,100.00,69.57,58.70,60.00,2.463,0.422,0.707,0.878
values_4,78247,78247,"['984084', '8864732', '142922', '1119312', '66473', '553200', '569737', '49.093', '12867044', '0', '3958437', '0', '166940', '0', '0', '4.217']",33255,171115,107925,92442,100.00,100.00,91.30,100.00,2.353,0.457,0.725,0.846
values_32,7066,7066,"['972354', '8854100', '128721', '1110831', '65181', '553133', '569302', '49.882', '12622874', '0', '3892255', '0', '161342', '0', '0', '4.145']",2898,16972,10163,8146,100.00,69.57,58.70,60.00,2.438,0.416,0.695,0.867
values_77,132050,132050,"['995556', '8872396', '154261', '1126828', '67537', '553384', '570159', '48.468', '13066296', '0', '4012240', '0', '169883', '0', '0', '4.234']",56540,293618,184995,157684,100.00,100.00,91.30,100.00,2.336,0.450,0.714,0.837
values_91,6522,6522,"['972103', '8854030', '128624', '1110726', '65148', '553077', '569236', '49.883', '12621016', '0', '3891712', '0', '161334', '0', '0', '4.146']",2648,15446,9230,7429,100.00,69.57,58.70,60.00,2.463,0.422,0.707,0.878
values_42,14488,14488,"['973956', '8855263', '129770', '1112391', '65411', '553752', '569982', '49.846', '12649128', '0', '3899677', '0', '161652', '0', '0', '4.145']",6264,38067,22593,18097,100.00,69.57,58.70,60.00,2.313,0.381,0.641,0.801
values_13,6492,6492,"['972103', '8854024', '128624', '1110720', '65148', '553077', '569237', '49.883', '12620896', '0', '3891682', '0', '161342', '0', '0', '4.146']",2636,15356,9200,7399,100.00,69.57,58.70,60.00,2.463,0.423,0.706,0.877
values_41,2418,2418,"['964041', '8845000', '127219', '1108783', '65048', '552243', '568370', '49.943', '12592262', '0', '3882608', '0', '161244', '0', '0', '4.153']",708,3108,2048,1729,100.00,100.00,91.30,100.00,3.415,0.778,1.181,1.398
values_55,131643,131643,"['995532', '8872112', '154237', '1126544', '67538', '553390', '570174', '48.480', '13064692', '0', '4011833', '0', '169977', '0', '0', '4.237']",56166,291808,184564,157265,100.00,100.00,91.30,100.00,2.344,0.451,0.713,0.837
values_31,144124,144124,"['1003163', '8873883', '159061', '1130489', '67644', '553605', '570332', '48.176', '13128250', '0', '4029314', '0', '167707', '0', '0', '4.162']",58260,302534,209406,175660,100.00,100.00,91.30,100.00,2.474,0.476,0.688,0.820
values_66,143124,143124,"['1003058', '8873119', '158956', '1129725', '67592', '553598', '570303', '48.204', '13124324', '0', '4028314', '0', '167486', '0', '0', '4.158']",57338,298028,208371,174615,100.00,100.00,91.30,100.00,2.496,0.480,0.687,0.820
