id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_71,1023,1023,"['951284', '8844176', '125457', '1107944', '65100', '552207', '568364', '50.049', '12574986', '0', '3876213', '0', '160988', '0', '0', '4.153']",208,933,564,1867,100.00,94.44,83.33,60.00,4.918,1.096,1.814,0.548
values_76,1028,1028,"['951286', '8844178', '125458', '1107945', '65100', '552207', '568364', '50.049', '12575006', '0', '3876218', '0', '160988', '0', '0', '4.153']",212,970,574,1913,100.00,94.44,83.33,60.00,4.849,1.060,1.791,0.537
values_7,2565,2565,"['952948', '8855226', '125805', '1111212', '65083', '552967', '569096', '49.963', '12613722', '0', '3887755', '0', '161678', '0', '0', '4.159']",854,4783,2434,15174,100.00,94.44,80.56,60.00,3.004,0.536,1.054,0.169
values_50,977,977,"['961404', '8844760', '126710', '1107095', '65058', '552249', '568381', '50.033', '12571434', '0', '3876167', '0', '160972', '0', '0', '4.153']",105,418,273,278,100.00,94.44,77.78,60.00,9.305,2.337,3.579,3.514
values_22,19029,19029,"['959384', '8848723', '127281', '1108151', '65478', '552719', '568973', '50.039', '12640410', '0', '3894218', '0', '165618', '0', '0', '4.253']",4258,24699,12013,13049,100.00,94.44,83.33,60.00,4.469,0.770,1.584,1.458
values_4,2543,2543,"['952950', '8855212', '125806', '1111205', '65090', '552960', '569090', '49.963', '12613628', '0', '3887733', '0', '161660', '0', '0', '4.158']",842,4633,2387,14729,100.00,94.44,83.33,60.00,3.020,0.549,1.065,0.173
values_32,1010,1010,"['947794', '8844450', '125014', '1108234', '64950', '552161', '568271', '50.039', '12576094', '0', '3876199', '0', '160977', '0', '0', '4.153']",153,660,408,730,100.00,94.44,83.33,60.00,6.601,1.530,2.475,1.384
values_77,1040,1040,"['951290', '8844184', '125460', '1107948', '65100', '552207', '568364', '50.049', '12575054', '0', '3876230', '0', '160988', '0', '0', '4.153']",221,1078,612,2049,100.00,94.44,80.56,60.00,4.706,0.965,1.699,0.508
values_91,12433,12433,"['963192', '8852685', '127474', '1109161', '65272', '552801', '569056', '49.980', '12631552', '0', '3892622', '0', '164048', '0', '0', '4.214']",2836,16394,8024,8742,100.00,94.44,83.33,60.00,4.384,0.758,1.549,1.422
values_42,1006,1006,"['947794', '8844446', '125014', '1108232', '64950', '552161', '568271', '50.040', '12576078', '0', '3876195', '0', '160977', '0', '0', '4.153']",147,612,396,708,100.00,94.44,80.56,60.00,6.844,1.644,2.540,1.421
values_13,16502,16502,"['960924', '8853015', '127354', '1109564', '65558', '552888', '569115', '49.999', '12648036', '0', '3896692', '0', '164987', '0', '0', '4.234']",3705,21511,10414,11352,100.00,94.44,83.33,60.00,4.454,0.767,1.585,1.454
values_41,1007,1007,"['947792', '8844450', '125013', '1108234', '64950', '552161', '568271', '50.040', '12576084', '0', '3876196', '0', '160977', '0', '0', '4.153']",152,653,405,718,100.00,94.44,83.33,60.00,6.625,1.542,2.486,1.403
values_55,975,975,"['961404', '8844758', '126710', '1107094', '65058', '552249', '568381', '50.033', '12571426', '0', '3876165', '0', '160972', '0', '0', '4.153']",102,394,267,275,100.00,94.44,77.78,60.00,9.559,2.475,3.652,3.545
values_31,1013,1013,"['947796', '8844450', '125015', '1108234', '64950', '552161', '568271', '50.039', '12576106', '0', '3876202', '0', '160977', '0', '0', '4.153']",153,678,418,757,100.00,94.44,80.56,60.00,6.621,1.494,2.423,1.338
values_66,26396,26396,"['966832', '8852941', '128631', '1109698', '65818', '553074', '569449', '49.978', '12680196', '0', '3906585', '0', '166750', '0', '0', '4.268']",6443,37786,18111,19675,100.00,94.44,83.33,60.00,4.097,0.699,1.457,1.342
values_65,26369,26369,"['966870', '8852897', '128650', '1109676', '65810', '553070', '569430', '49.977', '12680120', '0', '3906558', '0', '166731', '0', '0', '4.268']",6395,37438,18049,19569,100.00,94.44,83.33,60.00,4.123,0.704,1.461,1.347
values_62,26331,26331,"['966854', '8852889', '128642', '1109672', '65803', '553068', '569428', '49.977', '12679970', '0', '3906520', '0', '166719', '0', '0', '4.268']",6384,37304,17989,19507,100.00,94.44,83.33,60.00,4.125,0.706,1.464,1.350
values_21,18979,18979,"['959390', '8848707', '127284', '1108143', '65488', '552709', '568965', '50.039', '12640240', '0', '3894168', '0', '165616', '0', '0', '4.253']",4246,24504,11955,12981,100.00,94.44,83.33,60.00,4.470,0.775,1.588,1.462
values_95,12376,12376,"['963178', '8852693', '127467', '1109165', '65270', '552791', '569048', '49.979', '12631350', '0', '3892565', '0', '164007', '0', '0', '4.213']",2849,16365,7994,8724,100.00,94.44,83.33,60.00,4.344,0.756,1.548,1.419
values_84,1418,1418,"['963176', '8843686', '126972', '1106993', '65013', '552123', '568240', '50.012', '12572510', '0', '3876608', '0', '161113', '0', '0', '4.156']",294,1486,824,2406,100.00,94.44,80.56,60.00,4.823,0.954,1.721,0.589
values_58,975,975,"['961404', '8844758', '126710', '1107094', '65058', '552249', '568381', '50.033', '12571426', '0', '3876165', '0', '160972', '0', '0', '4.153']",102,394,267,275,100.00,94.44,77.78,60.00,9.559,2.475,3.652,3.545
values_64,26426,26426,"['966860', '8852917', '128645', '1109686', '65835', '553099', '569462', '49.981', '12680320', '0', '3906615', '0', '166750', '0', '0', '4.268']",6421,37722,18123,19667,100.00,94.44,83.33,60.00,4.116,0.701,1.458,1.344
values_83,1411,1411,"['963174', '8843682', '126971', '1106991', '65011', '552125', '568240', '50.013', '12572490', '0', '3876601', '0', '161098', '0', '0', '4.156']",286,1409,800,2275,100.00,94.44,83.33,60.00,4.934,1.001,1.764,0.620
values_94,12406,12406,"['963186', '8852693', '127471', '1109165', '65274', '552787', '569043', '49.979', '12631458', '0', '3892595', '0', '164031', '0', '0', '4.214']",2847,16405,8018,8744,100.00,94.44,83.33,60.00,4.358,0.756,1.547,1.419
values_0,2533,2533,"['952924', '8855232', '125793', '1111215', '65081', '552969', '569101', '49.963', '12613574', '0', '3887723', '0', '161660', '0', '0', '4.158']",855,4709,2385,14828,100.00,94.44,83.33,60.00,2.963,0.538,1.062,0.171
values_99,12378,12378,"['963172', '8852683', '127473', '1109161', '65276', '552785', '569035', '49.979', '12631372', '0', '3892567', '0', '164007', '0', '0', '4.213']",2845,16328,7998,8722,100.00,94.44,83.33,60.00,4.351,0.758,1.548,1.419
values_96,12326,12326,"['963170', '8852687', '127463', '1109162', '65262', '552799', '569047', '49.980', '12631172', '0', '3892515', '0', '164011', '0', '0', '4.213']",2833,16187,7935,8653,100.00,94.44,83.33,60.00,4.351,0.761,1.553,1.424
values_67,26417,26417,"['966894', '8852905', '128662', '1109680', '65823', '553069', '569421', '49.977', '12680312', '0', '3906606', '0', '166750', '0', '0', '4.268']",6415,37638,18133,19661,100.00,94.44,83.33,60.00,4.118,0.702,1.457,1.344
values_61,26387,26387,"['966878', '8852913', '128654', '1109684', '65819', '553061', '569424', '49.977', '12680194', '0', '3906576', '0', '166750', '0', '0', '4.268']",6430,37659,18115,19659,100.00,94.44,83.33,60.00,4.104,0.701,1.457,1.342
values_43,1013,1013,"['947796', '8844450', '125015', '1108234', '64950', '552161', '568271', '50.039', '12576106', '0', '3876202', '0', '160977', '0', '0', '4.153']",153,678,418,757,100.00,94.44,80.56,60.00,6.621,1.494,2.423,1.338
values_2,2527,2527,"['952940', '8855216', '125801', '1111207', '65081', '552959', '569095', '49.962', '12613568', '0', '3887717', '0', '161660', '0', '0', '4.158']",842,4624,2375,14632,100.00,94.44,83.33,60.00,3.001,0.546,1.064,0.173
values_54,977,977,"['961404', '8844760', '126710', '1107095', '65058', '552249', '568381', '50.033', '12571434', '0', '3876167', '0', '160972', '0', '0', '4.153']",105,418,273,278,100.00,94.44,77.78,60.00,9.305,2.337,3.579,3.514
values_30,1005,1005,"['947792', '8844448', '125013', '1108233', '64950', '552161', '568271', '50.040', '12576076', '0', '3876194', '0', '160977', '0', '0', '4.153']",149,629,399,707,100.00,94.44,83.33,60.00,6.745,1.598,2.519,1.421
values_59,977,977,"['964100', '8844762', '127047', '1108539', '65056', '552251', '568382', '49.961', '12587196', '0', '3881166', '0', '160977', '0', '0', '4.148']",105,418,273,278,100.00,94.44,77.78,60.00,9.305,2.337,3.579,3.514
values_85,1429,1429,"['963174', '8843690', '126971', '1106995', '65012', '552124', '568240', '50.012', '12572560', '0', '3876619', '0', '161098', '0', '0', '4.156']",293,1488,826,2402,100.00,94.44,80.56,60.00,4.877,0.960,1.730,0.595
values_74,1040,1040,"['951290', '8844184', '125460', '1107948', '65100', '552207', '568364', '50.049', '12575054', '0', '3876230', '0', '160988', '0', '0', '4.153']",221,1078,612,2049,100.00,94.44,80.56,60.00,4.706,0.965,1.699,0.508
values_90,12412,12412,"['963194', '8852679', '127475', '1109158', '65276', '552804', '569051', '49.981', '12631480', '0', '3892601', '0', '164031', '0', '0', '4.214']",2831,16323,8003,8717,100.00,94.44,83.33,60.00,4.384,0.760,1.551,1.424
values_18,16453,16453,"['960914', '8852987', '127349', '1109550', '65553', '552893', '569109', '50.000', '12647854', '0', '3896643', '0', '164987', '0', '0', '4.234']",3664,21149,10296,11208,100.00,94.44,83.33,60.00,4.490,0.778,1.598,1.468
values_52,977,977,"['961404', '8844760', '126710', '1107095', '65058', '552249', '568381', '50.033', '12571434', '0', '3876167', '0', '160972', '0', '0', '4.153']",105,418,273,278,100.00,94.44,77.78,60.00,9.305,2.337,3.579,3.514
values_44,1013,1013,"['947796', '8844450', '125015', '1108234', '64950', '552161', '568271', '50.039', '12576106', '0', '3876202', '0', '160977', '0', '0', '4.153']",153,678,418,757,100.00,94.44,80.56,60.00,6.621,1.494,2.423,1.338
values_17,16469,16469,"['960928', '8852973', '127356', '1109543', '65557', '552889', '569104', '50.000', '12647914', '0', '3896659', '0', '164987', '0', '0', '4.234']",3635,21051,10293,11179,100.00,94.44,83.33,60.00,4.531,0.782,1.600,1.473
values_36,1007,1007,"['947792', '8844450', '125013', '1108234', '64950', '552161', '568271', '50.040', '12576084', '0', '3876196', '0', '160977', '0', '0', '4.153']",152,653,405,718,100.00,94.44,83.33,60.00,6.625,1.542,2.486,1.403
values_49,1005,1005,"['947768', '8844450', '125010', '1108235', '64950', '552161', '568271', '50.040', '12576082', '0', '3876194', '0', '160982', '0', '0', '4.153']",149,629,399,707,100.00,94.44,83.33,60.00,6.745,1.598,2.519,1.421
values_86,1421,1421,"['963168', '8843694', '126968', '1106997', '65012', '552124', '568241', '50.012', '12572520', '0', '3876611', '0', '161098', '0', '0', '4.156']",299,1503,822,2423,100.00,94.44,83.33,60.00,4.753,0.945,1.729,0.586
values_37,1008,1008,"['947794', '8844448', '125014', '1108233', '64950', '552161', '568271', '50.040', '12576086', '0', '3876197', '0', '160977', '0', '0', '4.153']",150,636,402,719,100.00,94.44,83.33,60.00,6.720,1.585,2.507,1.402
values_56,975,975,"['961404', '8844758', '126710', '1107094', '65058', '552249', '568381', '50.033', '12571426', '0', '3876165', '0', '160972', '0', '0', '4.153']",102,394,267,275,100.00,94.44,77.78,60.00,9.559,2.475,3.652,3.545
values_63,26326,26326,"['966850', '8852903', '128640', '1109679', '65811', '553069', '569430', '49.977', '12679952', '0', '3906515', '0', '166719', '0', '0', '4.268']",6402,37388,18008,19538,100.00,94.44,83.33,60.00,4.112,0.704,1.462,1.347
values_35,1005,1005,"['947792', '8844448', '125013', '1108233', '64950', '552161', '568271', '50.040', '12576076', '0', '3876194', '0', '160977', '0', '0', '4.153']",149,629,399,707,100.00,94.44,83.33,60.00,6.745,1.598,2.519,1.421
values_97,12409,12409,"['963200', '8852679', '127478', '1109158', '65278', '552783', '569038', '49.979', '12631474', '0', '3892598', '0', '164031', '0', '0', '4.214']",2840,16359,8015,8735,100.00,94.44,83.33,60.00,4.369,0.759,1.548,1.421
values_75,1040,1040,"['951290', '8844184', '125460', '1107948', '65100', '552207', '568364', '50.049', '12575054', '0', '3876230', '0', '160988', '0', '0', '4.153']",221,1078,612,2049,100.00,94.44,80.56,60.00,4.706,0.965,1.699,0.508
values_57,975,975,"['961404', '8844758', '126710', '1107094', '65058', '552249', '568381', '50.033', '12571426', '0', '3876165', '0', '160972', '0', '0', '4.153']",102,394,267,275,100.00,94.44,77.78,60.00,9.559,2.475,3.652,3.545
values_88,1417,1417,"['963178', '8843682', '126973', '1106991', '65013', '552123', '568240', '50.012', '12572516', '0', '3876607', '0', '161098', '0', '0', '4.156']",287,1440,814,2330,100.00,94.44,80.56,60.00,4.937,0.984,1.741,0.608
values_10,16497,16497,"['960912', '8853013', '127348', '1109563', '65560', '552886', '569115', '49.999', '12648010', '0', '3896687', '0', '164987', '0', '0', '4.234']",3695,21447,10385,11319,100.00,94.44,83.33,60.00,4.465,0.769,1.589,1.457
values_53,975,975,"['961404', '8844758', '126710', '1107094', '65058', '552249', '568381', '50.033', '12571426', '0', '3876165', '0', '160972', '0', '0', '4.153']",102,394,267,275,100.00,94.44,77.78,60.00,9.559,2.475,3.652,3.545
values_8,2524,2524,"['952926', '8855230', '125794', '1111214', '65082', '552968', '569101', '49.963', '12613536', '0', '3887714', '0', '161660', '0', '0', '4.158']",859,4725,2388,14907,100.00,94.44,83.33,60.00,2.938,0.534,1.057,0.169
values_39,1017,1017,"['947772', '8844456', '125012', '1108238', '64950', '552161', '568271', '50.039', '12576128', '0', '3876206', '0', '160977', '0', '0', '4.153']",159,726,430,779,100.00,94.44,77.78,60.00,6.396,1.401,2.365,1.306
values_47,1006,1006,"['947794', '8844446', '125014', '1108232', '64950', '552161', '568271', '50.040', '12576078', '0', '3876195', '0', '160977', '0', '0', '4.153']",147,612,396,708,100.00,94.44,80.56,60.00,6.844,1.644,2.540,1.421
values_60,26360,26360,"['966866', '8852875', '128648', '1109665', '65826', '553054', '569427', '49.978', '12680080', '0', '3906549', '0', '166750', '0', '0', '4.268']",6360,37238,17990,19488,100.00,94.44,83.33,60.00,4.145,0.708,1.465,1.353
values_89,1388,1388,"['957628', '8843678', '126277', '1107452', '65011', '552125', '568241', '50.022', '12574246', '0', '3876577', '0', '161098', '0', '0', '4.156']",279,1336,775,2149,100.00,94.44,83.33,60.00,4.975,1.039,1.791,0.646
values_51,977,977,"['961404', '8844760', '126710', '1107095', '65058', '552249', '568381', '50.033', '12571434', '0', '3876167', '0', '160972', '0', '0', '4.153']",105,418,273,278,100.00,94.44,77.78,60.00,9.305,2.337,3.579,3.514
values_14,16513,16513,"['960926', '8853019', '127355', '1109566', '65552', '552894', '569119', '49.999', '12648076', '0', '3896703', '0', '164987', '0', '0', '4.234']",3711,21577,10436,11378,100.00,94.44,83.33,60.00,4.450,0.765,1.582,1.451
values_28,19021,19021,"['959400', '8848723', '127289', '1108151', '65475', '552722', '568957', '50.039', '12640394', '0', '3894210', '0', '165618', '0', '0', '4.253']",4264,24696,12027,13061,100.00,94.44,83.33,60.00,4.461,0.770,1.582,1.456
values_16,16481,16481,"['960930', '8852999', '127357', '1109556', '65569', '552877', '569114', '49.999', '12647964', '0', '3896671', '0', '164974', '0', '0', '4.234']",3691,21374,10376,11304,100.00,94.44,83.33,60.00,4.465,0.771,1.588,1.458
values_34,1010,1010,"['947794', '8844450', '125014', '1108234', '64950', '552161', '568271', '50.039', '12576094', '0', '3876199', '0', '160977', '0', '0', '4.153']",153,660,408,730,100.00,94.44,83.33,60.00,6.601,1.530,2.475,1.384
values_82,1397,1397,"['963170', '8843680', '126969', '1106990', '65011', '552125', '568240', '50.013', '12572436', '0', '3876587', '0', '161098', '0', '0', '4.156']",282,1360,781,2185,100.00,94.44,83.33,60.00,4.954,1.027,1.789,0.639
values_46,1015,1015,"['947796', '8844452', '125015', '1108235', '64950', '552161', '568271', '50.039', '12576114', '0', '3876204', '0', '160977', '0', '0', '4.153']",156,702,424,768,100.00,94.44,80.56,60.00,6.506,1.446,2.394,1.322
values_27,18981,18981,"['959372', '8848719', '127275', '1108149', '65475', '552722', '568974', '50.039', '12640238', '0', '3894170', '0', '165582', '0', '0', '4.252']",4254,24563,11955,12991,100.00,94.44,83.33,60.00,4.462,0.773,1.588,1.461
values_20,19039,19039,"['959376', '8848735', '127277', '1108157', '65471', '552726', '568976', '50.039', '12640442', '0', '3894228', '0', '165616', '0', '0', '4.253']",4278,24836,12041,13095,100.00,94.44,83.33,60.00,4.450,0.767,1.581,1.454
values_9,2567,2567,"['952920', '8855230', '125800', '1111215', '65086', '552964', '569093', '49.963', '12613724', '0', '3887757', '0', '161694', '0', '0', '4.159']",856,4770,2425,15134,100.00,94.44,83.33,60.00,2.999,0.538,1.059,0.170
values_92,12376,12376,"['963176', '8852691', '127466', '1109164', '65270', '552803', '569047', '49.980', '12631348', '0', '3892565', '0', '164031', '0', '0', '4.214']",2847,16357,7989,8719,100.00,94.44,83.33,60.00,4.347,0.757,1.549,1.419
values_3,2505,2505,"['952940', '8855204', '125801', '1111201', '65089', '552961', '569094', '49.964', '12613482', '0', '3887695', '0', '161652', '0', '0', '4.158']",832,4491,2331,14228,100.00,94.44,83.33,60.00,3.011,0.558,1.075,0.176
values_98,12341,12341,"['963200', '8852645', '127478', '1109141', '65300', '552804', '569053', '49.983', '12631232', '0', '3892530', '0', '164007', '0', '0', '4.213']",2788,15944,7896,8578,100.00,94.44,83.33,60.00,4.426,0.774,1.563,1.439
values_29,19119,19119,"['950906', '8848777', '126222', '1108886', '65483', '552731', '568984', '50.053', '12643556', '0', '3894308', '0', '165655', '0', '0', '4.254']",4328,25291,12191,13275,100.00,94.44,83.33,60.00,4.418,0.756,1.568,1.440
values_80,1390,1390,"['963162', '8843684', '126965', '1106992', '65014', '552122', '568238', '50.013', '12572416', '0', '3876580', '0', '161096', '0', '0', '4.156']",281,1341,769,2132,100.00,94.44,83.33,60.00,4.947,1.037,1.808,0.652
values_73,1031,1031,"['951288', '8844178', '125459', '1107945', '65100', '552207', '568364', '50.049', '12575018', '0', '3876221', '0', '160988', '0', '0', '4.153']",212,988,584,1939,100.00,94.44,83.33,60.00,4.863,1.044,1.765,0.532
