inputName,size
11,24
19,9
12,24
38,27
81,6
5,18
40,26
70,16
23,9
72,30
79,2
78,26
87,16
6,27
68,27
69,32
1,20
45,5
33,27
15,2
93,4
24,25
25,26
26,15
48,3
71,9
76,15
7,24
50,9
22,24
4,9
32,21
77,30
91,7
42,11
13,3
41,32
55,11
31,24
66,2
65,11
62,19
21,29
95,32
84,15
58,5
64,25
83,8
94,16
0,16
99,14
96,8
67,13
61,30
43,24
2,29
54,11
30,16
59,22
85,18
74,12
90,23
18,15
52,16
44,28
17,14
36,18
49,11
86,8
37,8
56,9
63,3
35,22
97,2
75,14
57,7
88,15
10,13
53,27
8,32
39,12
47,23
60,7
89,2
51,26
14,17
28,20
16,4
34,14
82,11
46,2
27,28
20,25
9,17
92,6
3,25
98,9
29,18
80,9
73,2
