inputName,size
11,8
19,10
12,11
38,8
81,10
5,6
40,4
70,9
23,8
72,2
79,8
78,8
87,5
6,12
68,7
69,12
1,9
45,5
33,5
15,3
93,2
24,7
25,11
26,6
48,6
71,3
76,9
7,6
50,5
22,4
4,6
32,7
77,8
91,4
42,13
13,5
41,3
55,3
31,5
66,9
65,13
62,8
21,3
95,6
84,11
58,10
64,8
83,9
94,8
0,10
99,10
96,4
67,8
61,13
43,10
2,8
54,11
30,8
59,3
85,5
74,2
90,4
18,3
52,4
44,3
17,8
36,8
49,6
86,10
37,12
56,7
63,3
35,12
97,8
75,4
57,4
88,4
10,9
53,7
8,12
39,8
47,6
60,6
89,2
51,13
14,11
28,8
16,2
34,4
82,10
46,2
27,7
20,5
9,9
92,9
3,3
98,10
29,2
80,10
73,13
