inputName,size
11,2
19,15
12,6
38,3
81,6
5,6
40,3
70,10
23,13
72,10
79,3
78,15
87,12
6,10
68,15
69,13
1,13
45,7
33,3
15,13
93,6
24,7
25,5
26,5
48,3
71,4
76,7
7,14
50,14
22,12
4,12
32,8
77,13
91,8
42,10
13,7
41,2
55,14
31,9
66,4
65,4
62,8
21,6
95,15
84,2
58,7
64,10
83,14
94,8
0,3
99,8
96,8
67,15
61,6
43,3
2,8
54,6
30,3
59,9
85,6
74,3
90,8
18,6
52,7
44,12
17,13
36,6
49,10
86,12
37,3
56,3
63,4
35,3
97,8
75,9
57,15
88,13
10,5
53,2
8,13
39,10
47,4
60,7
89,4
51,9
14,5
28,3
16,6
34,9
82,15
46,12
27,8
20,13
9,13
92,2
3,7
98,12
29,15
80,15
73,15
