inputName,size
11,30
19,30
12,30
38,5
81,17
5,16
40,14
70,8
23,7
72,8
79,8
78,8
87,17
6,16
68,26
69,26
1,16
45,14
33,5
15,30
93,11
24,7
25,7
26,7
48,14
71,8
76,8
7,16
50,27
22,7
4,16
32,5
77,8
91,11
42,14
13,30
41,14
55,27
31,5
66,26
65,26
62,26
21,7
95,11
84,17
58,27
64,26
83,17
94,11
0,16
99,11
96,11
67,26
61,26
43,14
2,16
54,27
30,5
59,27
85,17
74,8
90,11
18,30
52,27
44,14
17,30
36,5
49,14
86,17
37,5
56,27
63,26
35,5
97,11
75,8
57,27
88,17
10,30
53,27
8,16
39,5
47,14
60,26
89,17
51,27
14,30
28,7
16,30
34,5
82,17
46,14
27,7
20,7
9,16
92,11
3,16
98,11
29,7
80,17
73,8
