inputName,size
11,22
19,22
12,22
38,12
81,19
5,31
40,3
70,14
23,19
72,14
79,14
78,14
87,19
6,31
68,10
69,10
1,31
45,3
33,12
15,22
93,26
24,19
25,19
26,19
48,3
71,14
76,14
7,31
50,18
22,19
4,31
32,12
77,14
91,26
42,3
13,22
41,3
55,18
31,12
66,10
65,10
62,10
21,19
95,26
84,19
58,18
64,10
83,19
94,26
0,31
99,26
96,26
67,10
61,10
43,3
2,31
54,18
30,12
59,18
85,19
74,14
90,26
18,22
52,18
44,3
17,22
36,12
49,3
86,19
37,12
56,18
63,10
35,12
97,26
75,14
57,18
88,19
10,22
53,18
8,31
39,12
47,3
60,10
89,19
51,18
14,22
28,19
16,22
34,12
82,19
46,3
27,19
20,19
9,31
92,26
3,31
98,26
29,19
80,19
73,14
