inputName,size
11,18
19,2
12,7
38,11
81,18
5,16
40,2
70,18
23,17
72,3
79,6
78,14
87,5
6,17
68,7
69,9
1,12
45,14
33,6
15,3
93,18
24,11
25,14
26,13
48,10
71,2
76,9
7,8
50,10
22,5
4,12
32,17
77,18
91,15
42,18
13,6
41,14
55,18
31,9
66,3
65,10
62,12
21,7
95,13
84,9
58,8
64,15
83,3
94,5
0,5
99,13
96,6
67,13
61,13
43,8
2,13
54,5
30,14
59,6
85,13
74,14
90,5
18,10
52,17
44,18
17,7
36,12
49,2
86,18
37,18
56,12
63,4
35,14
97,6
75,7
57,3
88,5
10,14
53,8
8,5
39,6
47,18
60,13
89,16
51,8
14,18
28,4
16,12
34,8
82,12
46,4
27,8
20,12
9,18
92,4
3,8
98,6
29,4
80,17
73,17
