inputName,size
11,27
19,27
12,27
38,9
81,31
5,18
40,5
70,22
23,29
72,22
79,22
78,22
87,31
6,18
68,21
69,21
1,18
45,5
33,9
15,27
93,24
24,29
25,29
26,29
48,5
71,22
76,22
7,18
50,28
22,29
4,18
32,9
77,22
91,24
42,5
13,27
41,5
55,28
31,9
66,21
65,21
62,21
21,29
95,24
84,31
58,28
64,21
83,31
94,24
0,18
99,24
96,24
67,21
61,21
43,5
2,18
54,28
30,9
59,28
85,31
74,22
90,24
18,27
52,28
44,5
17,27
36,9
49,5
86,31
37,9
56,28
63,21
35,9
97,24
75,22
57,28
88,31
10,27
53,28
8,18
39,9
47,5
60,21
89,31
51,28
14,27
28,29
16,27
34,9
82,31
46,5
27,29
20,29
9,18
92,24
3,18
98,24
29,29
80,31
73,22
